Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Notes
OECD Env-Growth,SSP1,NPL,GDP|PPP,Annual Average Growth [%],3.900,4.914,6.303,7.194,7.577,7.449,7.061,6.497,5.851,5.194,4.562,3.999,3.515,3.052,2.623,2.232,1.898,1.567,,
OECD Env-Growth,SSP2,NPL,GDP|PPP,Annual Average Growth [%],4.100,4.834,5.463,5.483,5.260,5.306,5.280,5.177,4.994,4.782,4.555,4.339,4.127,3.847,3.564,3.305,3.079,2.855,,
OECD Env-Growth,SSP3,NPL,GDP|PPP,Annual Average Growth [%],4.304,4.868,4.706,4.274,3.680,3.560,3.460,3.356,3.242,3.157,3.101,3.078,3.060,2.954,2.853,2.788,2.738,2.687,,
OECD Env-Growth,SSP4,NPL,GDP|PPP,Annual Average Growth [%],4.300,4.828,4.499,3.939,3.029,2.764,2.558,2.373,2.211,2.098,2.030,2.008,2.005,1.929,1.872,1.863,1.880,1.908,,
OECD Env-Growth,SSP5,NPL,GDP|PPP,Annual Average Growth [%],3.887,4.960,6.909,8.514,9.186,8.768,8.085,7.282,6.461,5.688,4.991,4.392,3.893,3.436,3.019,2.644,2.329,2.019,,
IIASA GDP,SSP1,NZL,GDP|PPP,Annual Average Growth [%],3.410,2.529,2.740,2.577,2.378,2.183,2.014,1.855,1.735,1.657,1.586,1.504,1.418,1.334,1.243,1.127,1.000,0.903,,
IIASA GDP,SSP2,NZL,GDP|PPP,Annual Average Growth [%],3.486,2.571,2.674,2.403,2.149,1.948,1.792,1.646,1.533,1.453,1.379,1.308,1.242,1.173,1.102,1.026,0.949,0.875,,
IIASA GDP,SSP3,NZL,GDP|PPP,Annual Average Growth [%],3.238,2.047,1.931,1.571,1.309,1.138,1.013,0.879,0.768,0.690,0.632,0.587,0.528,0.445,0.346,0.253,0.176,0.115,,
IIASA GDP,SSP4,NZL,GDP|PPP,Annual Average Growth [%],3.520,2.555,2.563,2.166,1.840,1.615,1.462,1.317,1.204,1.119,1.039,0.968,0.893,0.809,0.715,0.615,0.513,0.417,,
IIASA GDP,SSP5,NZL,GDP|PPP,Annual Average Growth [%],3.505,2.837,3.306,3.367,3.305,3.183,3.054,2.917,2.807,2.742,2.681,2.597,2.501,2.405,2.307,2.197,2.087,2.002,,
OECD Env-Growth,SSP1,NZL,GDP|PPP,Annual Average Growth [%],2.493,2.350,2.247,2.363,2.617,2.687,2.670,2.482,2.250,2.121,2.035,1.916,1.733,1.594,1.445,1.310,1.205,1.112,,
OECD Env-Growth,SSP2,NZL,GDP|PPP,Annual Average Growth [%],2.480,2.308,2.040,1.869,1.927,2.089,2.241,2.241,2.158,2.142,2.147,2.105,1.987,1.882,1.769,1.671,1.602,1.524,,
OECD Env-Growth,SSP3,NZL,GDP|PPP,Annual Average Growth [%],2.330,2.036,1.625,1.238,1.101,1.116,1.167,1.105,0.986,0.976,1.006,0.952,0.790,0.680,0.561,0.471,0.413,0.311,,
OECD Env-Growth,SSP4,NZL,GDP|PPP,Annual Average Growth [%],2.421,2.224,2.135,2.242,2.480,2.538,2.530,2.364,2.135,2.008,1.906,1.763,1.560,1.423,1.286,1.175,1.097,0.988,,
OECD Env-Growth,SSP5,NZL,GDP|PPP,Annual Average Growth [%],2.623,2.570,2.725,3.198,3.612,3.673,3.653,3.483,3.289,3.192,3.131,3.061,2.943,2.816,2.677,2.548,2.446,2.378,,
IIASA GDP,SSP1,OMN,GDP|PPP,Annual Average Growth [%],2.658,2.746,2.172,1.702,1.323,1.134,1.491,1.776,1.895,1.851,1.741,1.591,1.408,1.224,1.044,0.846,0.657,0.496,,
IIASA GDP,SSP2,OMN,GDP|PPP,Annual Average Growth [%],2.827,2.992,2.356,1.985,1.698,1.597,1.632,1.576,1.916,2.111,2.115,1.950,1.787,1.648,1.526,1.414,1.309,1.200,,
IIASA GDP,SSP3,OMN,GDP|PPP,Annual Average Growth [%],2.645,2.570,1.580,1.095,0.806,0.790,0.939,1.040,1.131,1.317,1.464,1.458,1.363,1.329,1.319,1.332,1.341,1.356,,
IIASA GDP,SSP4,OMN,GDP|PPP,Annual Average Growth [%],2.586,2.263,1.044,0.446,0.184,0.229,0.397,0.493,0.510,0.557,0.542,0.415,0.230,0.133,0.058,0.008,-0.023,-0.052,,
IIASA GDP,SSP5,OMN,GDP|PPP,Annual Average Growth [%],2.730,2.948,2.538,2.227,1.946,1.787,2.102,2.421,2.658,2.694,2.594,2.410,2.187,1.966,1.750,1.519,1.287,1.074,,
OECD Env-Growth,SSP1,OMN,GDP|PPP,Annual Average Growth [%],4.055,3.814,4.220,4.385,4.122,3.240,2.256,1.781,1.820,1.661,1.442,1.126,0.837,0.661,0.506,0.398,0.298,0.173,,
OECD Env-Growth,SSP2,OMN,GDP|PPP,Annual Average Growth [%],4.400,3.959,3.619,3.367,3.112,2.790,2.323,2.020,2.260,2.291,2.213,2.021,1.817,1.652,1.506,1.389,1.281,1.179,,
OECD Env-Growth,SSP3,OMN,GDP|PPP,Annual Average Growth [%],4.152,3.759,3.184,2.674,2.251,1.653,0.901,0.390,0.941,1.205,1.380,1.394,1.379,1.372,1.332,1.328,1.335,1.341,,
OECD Env-Growth,SSP4,OMN,GDP|PPP,Annual Average Growth [%],4.049,3.725,3.805,3.845,3.543,2.711,1.798,1.160,1.398,1.394,1.320,1.132,0.944,0.833,0.720,0.661,0.617,0.554,,
OECD Env-Growth,SSP5,OMN,GDP|PPP,Annual Average Growth [%],4.114,3.872,4.282,4.681,4.503,3.751,3.000,2.458,2.466,2.296,2.109,1.850,1.602,1.423,1.286,1.177,1.071,0.943,,
IIASA GDP,SSP1,PAK,GDP|PPP,Annual Average Growth [%],3.339,4.087,4.372,4.805,5.031,5.049,4.892,4.573,4.114,3.584,3.049,2.562,2.116,1.725,1.392,1.120,0.894,0.771,,
IIASA GDP,SSP2,PAK,GDP|PPP,Annual Average Growth [%],2.948,3.207,3.174,3.563,3.889,4.097,4.201,4.184,4.056,3.860,3.642,3.415,3.175,2.916,2.652,2.385,2.127,1.880,,
IIASA GDP,SSP3,PAK,GDP|PPP,Annual Average Growth [%],2.711,2.596,2.189,2.315,2.439,2.502,2.529,2.480,2.348,2.162,1.989,1.864,1.798,1.762,1.729,1.686,1.642,1.605,,
IIASA GDP,SSP4,PAK,GDP|PPP,Annual Average Growth [%],2.606,2.578,2.332,2.668,2.950,3.110,3.182,3.149,3.023,2.845,2.687,2.577,2.520,2.488,2.456,2.408,2.352,2.293,,
IIASA GDP,SSP5,PAK,GDP|PPP,Annual Average Growth [%],3.346,4.246,4.747,5.390,5.751,5.829,5.666,5.301,4.779,4.184,3.587,3.040,2.538,2.173,2.086,2.149,2.223,2.219,,
OECD Env-Growth,SSP1,PAK,GDP|PPP,Annual Average Growth [%],3.097,4.014,5.176,5.900,6.243,6.102,5.689,5.121,4.581,4.081,3.626,3.214,2.766,2.389,2.058,1.780,1.552,1.323,,
OECD Env-Growth,SSP2,PAK,GDP|PPP,Annual Average Growth [%],3.295,4.169,4.764,4.904,4.915,4.933,4.811,4.604,4.389,4.190,4.010,3.827,3.573,3.299,3.043,2.822,2.635,2.449,,
OECD Env-Growth,SSP3,PAK,GDP|PPP,Annual Average Growth [%],3.460,4.318,4.305,3.894,3.547,3.431,3.255,3.047,2.891,2.799,2.762,2.743,2.656,2.525,2.392,2.295,2.228,2.172,,
OECD Env-Growth,SSP4,PAK,GDP|PPP,Annual Average Growth [%],3.430,4.247,4.108,3.635,3.099,2.929,2.729,2.509,2.350,2.253,2.210,2.199,2.126,2.016,1.919,1.860,1.836,1.830,,
OECD Env-Growth,SSP5,PAK,GDP|PPP,Annual Average Growth [%],3.065,3.992,5.555,6.747,7.303,7.019,6.466,5.782,5.162,4.610,4.129,3.701,3.251,2.889,2.573,2.313,2.106,1.897,,
IIASA GDP,SSP1,PAN,GDP|PPP,Annual Average Growth [%],7.257,4.822,3.019,2.245,2.124,2.205,2.220,2.038,1.741,1.381,1.094,0.978,0.952,0.933,0.849,0.704,0.520,0.312,,
IIASA GDP,SSP2,PAN,GDP|PPP,Annual Average Growth [%],7.235,4.667,2.839,2.169,1.844,2.043,2.221,2.235,2.035,1.753,1.462,1.203,1.035,0.986,0.983,0.975,0.938,0.878,,
IIASA GDP,SSP3,PAN,GDP|PPP,Annual Average Growth [%],7.212,4.444,2.452,1.733,1.473,1.506,1.634,1.764,1.722,1.591,1.417,1.275,1.171,1.109,1.052,1.008,0.977,0.974,,
IIASA GDP,SSP4,PAN,GDP|PPP,Annual Average Growth [%],7.041,4.142,2.002,1.147,0.818,0.841,0.966,1.100,1.019,0.823,0.552,0.307,0.108,0.002,-0.091,-0.187,-0.280,-0.372,,
IIASA GDP,SSP5,PAN,GDP|PPP,Annual Average Growth [%],7.291,5.004,3.381,2.750,2.689,2.775,2.761,2.536,2.248,2.109,2.060,2.032,1.951,1.822,1.635,1.405,1.153,0.893,,
OECD Env-Growth,SSP1,PAN,GDP|PPP,Annual Average Growth [%],7.740,5.682,5.133,4.574,4.023,3.446,2.951,2.474,2.064,1.714,1.373,1.066,0.818,0.673,0.490,0.312,0.149,-0.032,,
OECD Env-Growth,SSP2,PAN,GDP|PPP,Annual Average Growth [%],7.868,5.776,4.899,4.058,3.460,3.072,2.774,2.493,2.244,2.031,1.815,1.620,1.454,1.325,1.197,1.073,0.956,0.857,,
OECD Env-Growth,SSP3,PAN,GDP|PPP,Annual Average Growth [%],7.938,5.828,4.551,3.467,2.738,2.358,2.104,1.884,1.701,1.563,1.445,1.366,1.307,1.244,1.163,1.098,1.049,1.022,,
OECD Env-Growth,SSP4,PAN,GDP|PPP,Annual Average Growth [%],7.778,5.647,4.646,3.865,3.212,2.739,2.362,2.019,1.732,1.494,1.235,0.997,0.800,0.675,0.528,0.403,0.300,0.196,,
OECD Env-Growth,SSP5,PAN,GDP|PPP,Annual Average Growth [%],7.750,5.779,5.570,5.271,4.794,4.128,3.574,3.065,2.639,2.289,1.954,1.650,1.400,1.251,1.069,0.895,0.737,0.558,,
IIASA GDP,SSP1,PER,GDP|PPP,Annual Average Growth [%],5.983,4.643,3.409,2.747,2.308,2.021,1.778,1.525,1.234,0.922,0.651,0.453,0.313,0.332,0.432,0.535,0.545,0.473,,
IIASA GDP,SSP2,PER,GDP|PPP,Annual Average Growth [%],6.016,4.443,2.954,2.360,2.100,1.993,1.859,1.676,1.447,1.203,1.003,0.851,0.739,0.644,0.555,0.481,0.519,0.623,,
IIASA GDP,SSP3,PER,GDP|PPP,Annual Average Growth [%],6.058,4.314,2.755,1.985,1.691,1.589,1.551,1.446,1.292,1.127,1.034,1.009,1.011,0.994,0.959,0.934,0.927,0.948,,
IIASA GDP,SSP4,PER,GDP|PPP,Annual Average Growth [%],5.808,3.838,2.028,1.075,0.722,0.688,0.801,0.785,0.657,0.469,0.336,0.262,0.211,0.155,0.089,0.022,-0.044,-0.104,,
IIASA GDP,SSP5,PER,GDP|PPP,Annual Average Growth [%],5.945,4.635,3.481,2.919,2.543,2.270,1.996,1.688,1.340,0.976,0.883,0.998,1.179,1.298,1.337,1.319,1.230,1.095,,
OECD Env-Growth,SSP1,PER,GDP|PPP,Annual Average Growth [%],5.762,5.414,5.083,4.732,4.301,3.715,3.135,2.626,2.204,1.817,1.514,1.247,1.002,0.836,0.686,0.554,0.404,0.245,,
OECD Env-Growth,SSP2,PER,GDP|PPP,Annual Average Growth [%],5.887,5.463,4.631,3.822,3.223,2.893,2.604,2.368,2.152,1.927,1.775,1.648,1.525,1.424,1.342,1.271,1.207,1.150,,
OECD Env-Growth,SSP3,PER,GDP|PPP,Annual Average Growth [%],6.088,5.725,4.480,3.357,2.525,2.195,1.949,1.771,1.634,1.508,1.447,1.413,1.386,1.347,1.300,1.267,1.239,1.227,,
OECD Env-Growth,SSP4,PER,GDP|PPP,Annual Average Growth [%],5.818,5.361,4.414,3.740,3.127,2.731,2.368,2.087,1.851,1.613,1.417,1.244,1.083,0.964,0.852,0.764,0.691,0.613,,
OECD Env-Growth,SSP5,PER,GDP|PPP,Annual Average Growth [%],5.667,5.335,5.367,5.356,4.919,4.104,3.386,2.801,2.351,1.953,1.676,1.429,1.213,1.099,1.004,0.933,0.848,0.751,,
IIASA GDP,SSP1,PHL,GDP|PPP,Annual Average Growth [%],3.723,5.176,4.950,5.101,4.923,4.545,3.929,3.305,2.730,2.264,1.906,1.653,1.452,1.267,1.078,0.889,0.707,0.535,,
IIASA GDP,SSP2,PHL,GDP|PPP,Annual Average Growth [%],3.745,4.726,4.310,4.212,4.192,4.067,3.779,3.399,3.020,2.688,2.390,2.138,1.908,1.693,1.496,1.322,1.176,1.048,,
IIASA GDP,SSP3,PHL,GDP|PPP,Annual Average Growth [%],3.563,3.898,3.166,3.030,2.979,2.822,2.538,2.095,1.774,1.625,1.597,1.568,1.533,1.472,1.403,1.344,1.294,1.259,,
IIASA GDP,SSP4,PHL,GDP|PPP,Annual Average Growth [%],3.480,3.875,3.234,3.221,3.301,3.303,3.164,2.830,2.589,2.503,2.507,2.470,2.394,2.279,2.160,2.059,1.972,1.900,,
IIASA GDP,SSP5,PHL,GDP|PPP,Annual Average Growth [%],3.731,5.370,5.394,5.764,5.685,5.309,4.635,3.936,3.299,2.793,2.408,2.128,1.896,1.678,1.588,1.714,1.917,2.061,,
OECD Env-Growth,SSP1,PHL,GDP|PPP,Annual Average Growth [%],4.499,4.756,5.082,5.445,5.508,5.324,4.938,4.477,4.025,3.585,3.150,2.726,2.369,2.075,1.800,1.546,1.323,1.108,,
OECD Env-Growth,SSP2,PHL,GDP|PPP,Annual Average Growth [%],4.647,4.853,4.597,4.370,4.084,4.093,4.022,3.899,3.743,3.564,3.360,3.148,2.962,2.773,2.581,2.391,2.221,2.056,,
OECD Env-Growth,SSP3,PHL,GDP|PPP,Annual Average Growth [%],4.804,4.984,4.197,3.564,2.970,2.928,2.885,2.830,2.777,2.726,2.679,2.629,2.591,2.505,2.394,2.293,2.203,2.127,,
OECD Env-Growth,SSP4,PHL,GDP|PPP,Annual Average Growth [%],4.781,4.913,3.897,3.206,2.397,2.303,2.242,2.193,2.145,2.093,2.039,1.998,1.972,1.905,1.828,1.763,1.716,1.691,,
OECD Env-Growth,SSP5,PHL,GDP|PPP,Annual Average Growth [%],4.472,4.819,5.638,6.447,6.632,6.230,5.679,5.101,4.578,4.099,3.648,3.216,2.859,2.579,2.320,2.085,1.882,1.686,,
IIASA GDP,SSP1,PNG,GDP|PPP,Annual Average Growth [%],11.653,9.037,7.802,5.933,4.546,3.541,2.978,2.594,2.362,2.315,2.210,2.001,1.686,1.360,1.115,1.036,1.039,1.043,,
IIASA GDP,SSP2,PNG,GDP|PPP,Annual Average Growth [%],11.703,8.894,7.294,5.332,4.017,3.197,2.809,2.588,2.434,2.232,2.023,1.848,1.699,1.625,1.895,2.007,1.900,1.612,,
IIASA GDP,SSP3,PNG,GDP|PPP,Annual Average Growth [%],11.721,8.803,6.983,4.816,3.354,2.465,2.042,1.823,1.666,1.515,1.369,1.248,1.152,1.115,1.098,1.083,1.068,1.068,,
IIASA GDP,SSP4,PNG,GDP|PPP,Annual Average Growth [%],11.677,8.730,6.908,4.804,3.425,2.629,2.290,2.151,2.067,1.974,1.855,1.730,1.610,1.543,1.496,1.457,1.420,1.401,,
IIASA GDP,SSP5,PNG,GDP|PPP,Annual Average Growth [%],11.681,9.217,8.184,6.488,5.200,4.231,3.659,3.241,2.963,2.870,2.715,2.452,2.302,2.268,2.265,2.203,2.079,1.915,,
OECD Env-Growth,SSP1,PNG,GDP|PPP,Annual Average Growth [%],9.140,4.655,5.591,6.475,6.725,6.467,6.053,5.559,5.021,4.461,3.893,3.365,2.879,2.513,2.151,1.824,1.527,1.251,,
OECD Env-Growth,SSP2,PNG,GDP|PPP,Annual Average Growth [%],9.332,4.671,5.210,5.395,5.150,5.048,4.939,4.777,4.559,4.284,3.979,3.702,3.433,3.204,2.968,2.726,2.493,2.292,,
OECD Env-Growth,SSP3,PNG,GDP|PPP,Annual Average Growth [%],9.376,4.761,4.787,4.536,3.970,3.789,3.661,3.504,3.316,3.109,2.907,2.729,2.578,2.443,2.287,2.142,2.023,1.933,,
OECD Env-Growth,SSP4,PNG,GDP|PPP,Annual Average Growth [%],9.389,4.732,4.525,4.243,3.475,3.248,3.106,2.955,2.775,2.582,2.389,2.229,2.099,1.985,1.856,1.741,1.658,1.611,,
OECD Env-Growth,SSP5,PNG,GDP|PPP,Annual Average Growth [%],9.140,4.730,6.165,7.572,8.004,7.538,6.935,6.300,5.665,5.044,4.439,3.889,3.394,3.026,2.667,2.346,2.055,1.785,,
IIASA GDP,SSP1,POL,GDP|PPP,Annual Average Growth [%],4.583,4.073,2.916,1.884,1.240,0.966,0.893,0.843,0.819,0.837,0.861,0.854,0.800,0.684,0.535,0.428,0.426,0.492,,
IIASA GDP,SSP2,POL,GDP|PPP,Annual Average Growth [%],4.638,4.033,2.747,1.633,0.960,0.677,0.601,0.554,0.519,0.509,0.498,0.459,0.400,0.338,0.299,0.309,0.368,0.442,,
IIASA GDP,SSP3,POL,GDP|PPP,Annual Average Growth [%],4.623,3.870,2.406,1.140,0.377,0.032,-0.092,-0.181,-0.253,-0.311,-0.372,-0.441,-0.513,-0.566,-0.586,-0.565,-0.527,-0.501,,
IIASA GDP,SSP4,POL,GDP|PPP,Annual Average Growth [%],4.665,3.992,2.619,1.424,0.720,0.427,0.343,0.279,0.222,0.183,0.142,0.090,0.015,-0.076,-0.158,-0.193,-0.170,-0.116,,
IIASA GDP,SSP5,POL,GDP|PPP,Annual Average Growth [%],4.640,4.296,3.341,2.488,1.995,1.824,1.819,1.814,1.823,1.867,1.911,1.908,1.860,1.762,1.644,1.568,1.577,1.633,,
OECD Env-Growth,SSP1,POL,GDP|PPP,Annual Average Growth [%],3.073,3.308,2.875,2.576,2.311,1.838,1.329,0.949,0.789,0.775,0.819,0.781,0.641,0.510,0.414,0.373,0.395,0.433,,
OECD Env-Growth,SSP2,POL,GDP|PPP,Annual Average Growth [%],3.045,3.187,2.543,2.097,1.839,1.542,1.203,0.954,0.864,0.875,0.922,0.891,0.763,0.658,0.603,0.596,0.642,0.698,,
OECD Env-Growth,SSP3,POL,GDP|PPP,Annual Average Growth [%],2.959,2.954,2.128,1.522,1.124,0.748,0.335,0.020,-0.108,-0.119,-0.107,-0.207,-0.408,-0.537,-0.604,-0.606,-0.572,-0.572,,
OECD Env-Growth,SSP4,POL,GDP|PPP,Annual Average Growth [%],3.008,3.198,2.791,2.467,2.158,1.670,1.181,0.823,0.671,0.643,0.638,0.540,0.347,0.215,0.146,0.143,0.192,0.227,,
OECD Env-Growth,SSP5,POL,GDP|PPP,Annual Average Growth [%],3.133,3.514,3.389,3.229,2.958,2.461,2.015,1.723,1.643,1.695,1.802,1.841,1.780,1.688,1.617,1.590,1.627,1.700,,
IIASA GDP,SSP1,PRI,GDP|PPP,Annual Average Growth [%],-0.857,0.313,0.598,0.695,0.569,0.362,0.245,0.196,0.169,0.128,0.088,0.036,-0.038,-0.111,-0.179,-0.241,-0.339,-0.484,,
IIASA GDP,SSP2,PRI,GDP|PPP,Annual Average Growth [%],-0.463,0.440,0.430,0.509,0.472,0.344,0.260,0.213,0.187,0.145,0.137,0.158,0.196,0.234,0.277,0.328,0.380,0.401,,
IIASA GDP,SSP3,PRI,GDP|PPP,Annual Average Growth [%],-0.645,0.566,0.878,1.040,1.031,0.906,0.796,0.756,0.761,0.783,0.830,0.894,0.974,1.050,1.116,1.172,1.226,1.281,,
IIASA GDP,SSP4,PRI,GDP|PPP,Annual Average Growth [%],-0.601,0.029,-0.220,-0.263,-0.283,-0.358,-0.483,-0.647,-0.777,-0.851,-0.806,-0.694,-0.577,-0.493,-0.441,-0.399,-0.378,-0.411,,
IIASA GDP,SSP5,PRI,GDP|PPP,Annual Average Growth [%],-0.912,0.208,0.427,0.514,0.399,0.306,0.255,0.220,0.146,0.039,-0.054,-0.150,-0.262,-0.361,-0.429,-0.450,-0.465,-0.513,,
OECD Env-Growth,SSP1,PRI,GDP|PPP,Annual Average Growth [%],2.262,1.909,1.928,1.805,1.630,1.269,0.886,0.575,0.308,0.025,-0.114,-0.246,-0.388,-0.428,-0.453,-0.476,-0.521,-0.584,,
OECD Env-Growth,SSP2,PRI,GDP|PPP,Annual Average Growth [%],2.146,1.839,1.697,1.460,1.296,1.112,0.894,0.722,0.551,0.351,0.289,0.265,0.243,0.262,0.289,0.327,0.384,0.422,,
OECD Env-Growth,SSP3,PRI,GDP|PPP,Annual Average Growth [%],1.827,1.724,1.621,1.334,1.189,1.094,0.968,0.891,0.788,0.660,0.655,0.704,0.723,0.713,0.707,0.725,0.763,0.818,,
OECD Env-Growth,SSP4,PRI,GDP|PPP,Annual Average Growth [%],1.758,1.578,1.558,1.536,1.412,1.127,0.829,0.623,0.425,0.204,0.096,0.017,-0.066,-0.088,-0.097,-0.076,-0.046,-0.060,,
OECD Env-Growth,SSP5,PRI,GDP|PPP,Annual Average Growth [%],2.238,1.900,1.988,1.957,1.750,1.267,0.811,0.465,0.186,-0.111,-0.230,-0.377,-0.523,-0.535,-0.498,-0.439,-0.386,-0.351,,
IIASA GDP,SSP1,PRT,GDP|PPP,Annual Average Growth [%],1.667,2.622,3.989,4.246,4.012,3.427,2.832,2.311,1.905,1.609,1.370,1.159,0.963,0.795,0.682,0.604,0.553,0.501,,
IIASA GDP,SSP2,PRT,GDP|PPP,Annual Average Growth [%],1.674,2.524,3.791,4.029,3.814,3.246,2.654,2.142,1.747,1.470,1.250,1.070,0.926,0.822,0.758,0.719,0.687,0.633,,
IIASA GDP,SSP3,PRT,GDP|PPP,Annual Average Growth [%],0.275,0.268,1.369,2.144,2.379,2.019,1.486,1.001,0.659,0.437,0.279,0.167,0.081,0.031,0.019,0.022,0.009,-0.025,,
IIASA GDP,SSP4,PRT,GDP|PPP,Annual Average Growth [%],1.653,2.408,3.581,3.763,3.532,2.954,2.338,1.791,1.383,1.104,0.889,0.717,0.564,0.440,0.358,0.316,0.283,0.218,,
IIASA GDP,SSP5,PRT,GDP|PPP,Annual Average Growth [%],1.749,2.882,4.464,4.888,4.766,4.242,3.692,3.197,2.808,2.529,2.304,2.099,1.913,1.756,1.648,1.571,1.520,1.477,,
OECD Env-Growth,SSP1,PRT,GDP|PPP,Annual Average Growth [%],-0.045,1.986,2.083,2.238,2.216,1.993,1.817,1.701,1.670,1.626,1.516,1.356,1.213,1.107,1.016,0.922,0.817,0.703,,
OECD Env-Growth,SSP2,PRT,GDP|PPP,Annual Average Growth [%],-0.069,1.895,1.800,1.769,1.695,1.622,1.615,1.668,1.736,1.752,1.679,1.563,1.477,1.406,1.341,1.277,1.199,1.096,,
OECD Env-Growth,SSP3,PRT,GDP|PPP,Annual Average Growth [%],-0.204,1.594,1.273,1.008,0.722,0.508,0.387,0.376,0.412,0.410,0.329,0.181,0.087,0.057,0.018,-0.016,-0.073,-0.178,,
OECD Env-Growth,SSP4,PRT,GDP|PPP,Annual Average Growth [%],-0.114,1.888,1.943,2.034,1.942,1.674,1.495,1.430,1.418,1.387,1.268,1.099,0.970,0.901,0.834,0.783,0.718,0.596,,
OECD Env-Growth,SSP5,PRT,GDP|PPP,Annual Average Growth [%],0.052,2.212,2.653,3.051,3.123,2.886,2.750,2.692,2.715,2.723,2.654,2.543,2.444,2.354,2.268,2.172,2.069,1.980,,
IIASA GDP,SSP1,PRY,GDP|PPP,Annual Average Growth [%],3.441,3.758,4.438,4.699,4.550,4.241,3.722,3.580,3.307,2.890,2.333,1.852,1.475,1.192,0.961,0.748,0.646,0.649,,
IIASA GDP,SSP2,PRY,GDP|PPP,Annual Average Growth [%],3.278,3.050,3.506,3.821,3.901,3.821,3.565,3.207,2.884,2.635,2.444,2.649,2.686,2.504,2.130,1.766,1.457,1.216,,
IIASA GDP,SSP3,PRY,GDP|PPP,Annual Average Growth [%],3.125,2.505,2.655,2.824,2.858,2.743,2.489,2.140,1.864,1.719,1.665,1.636,1.609,1.572,1.523,1.487,1.464,1.456,,
IIASA GDP,SSP4,PRY,GDP|PPP,Annual Average Growth [%],3.017,2.445,2.663,2.939,3.067,3.062,2.902,2.627,2.408,2.309,2.279,2.248,2.200,2.136,2.061,2.002,1.953,1.918,,
IIASA GDP,SSP5,PRY,GDP|PPP,Annual Average Growth [%],3.451,3.899,4.761,5.195,5.148,4.875,4.339,4.166,3.846,3.376,2.768,2.244,1.859,1.815,1.936,2.060,2.080,1.978,,
OECD Env-Growth,SSP1,PRY,GDP|PPP,Annual Average Growth [%],4.198,4.615,5.717,6.176,6.097,5.603,4.979,4.330,3.774,3.272,2.822,2.413,2.042,1.768,1.507,1.277,1.081,0.859,,
OECD Env-Growth,SSP2,PRY,GDP|PPP,Annual Average Growth [%],4.365,4.694,5.159,5.098,4.807,4.592,4.298,3.992,3.721,3.458,3.213,2.980,2.751,2.539,2.334,2.156,2.001,1.854,,
OECD Env-Growth,SSP3,PRY,GDP|PPP,Annual Average Growth [%],4.502,4.807,4.736,4.283,3.761,3.484,3.211,2.953,2.744,2.566,2.422,2.307,2.201,2.086,1.970,1.886,1.820,1.773,,
OECD Env-Growth,SSP4,PRY,GDP|PPP,Annual Average Growth [%],4.481,4.855,4.994,4.997,4.745,4.506,4.224,3.948,3.719,3.514,3.336,3.188,3.051,2.907,2.765,2.654,2.565,2.497,,
OECD Env-Growth,SSP5,PRY,GDP|PPP,Annual Average Growth [%],4.173,4.689,6.276,7.130,7.121,6.404,5.621,4.873,4.263,3.734,3.280,2.872,2.509,2.251,2.005,1.791,1.612,1.406,,
OECD Env-Growth,SSP1,PSE,GDP|PPP,Annual Average Growth [%],6.226,6.674,7.306,7.378,6.939,6.066,5.146,4.311,3.616,3.014,2.606,2.208,1.890,1.688,1.520,1.393,1.290,1.171,,
OECD Env-Growth,SSP2,PSE,GDP|PPP,Annual Average Growth [%],5.911,6.460,6.606,6.220,5.645,5.132,4.589,4.120,3.725,3.366,3.159,2.946,2.759,2.608,2.495,2.403,2.325,2.254,,
OECD Env-Growth,SSP3,PSE,GDP|PPP,Annual Average Growth [%],4.803,5.944,6.166,5.686,5.102,4.769,4.467,4.203,3.910,3.617,3.442,3.301,3.178,3.046,2.901,2.769,2.664,2.588,,
OECD Env-Growth,SSP4,PSE,GDP|PPP,Annual Average Growth [%],4.802,5.575,5.360,4.803,3.961,3.560,3.208,2.918,2.664,2.457,2.416,2.384,2.359,2.312,2.268,2.248,2.260,2.288,,
OECD Env-Growth,SSP5,PSE,GDP|PPP,Annual Average Growth [%],6.343,7.041,8.104,8.431,7.875,6.611,5.371,4.333,3.526,2.881,2.439,1.999,1.675,1.513,1.411,1.408,1.459,1.525,,
OECD Env-Growth,SSP1,PYF,GDP|PPP,Annual Average Growth [%],2.108,1.566,1.697,1.924,2.225,2.305,2.220,2.000,1.763,1.614,1.456,1.341,1.170,1.007,0.888,0.795,0.703,0.598,,
OECD Env-Growth,SSP2,PYF,GDP|PPP,Annual Average Growth [%],1.936,1.446,1.377,1.368,1.582,1.847,1.964,1.949,1.893,1.903,1.896,1.916,1.853,1.752,1.678,1.632,1.606,1.578,,
OECD Env-Growth,SSP3,PYF,GDP|PPP,Annual Average Growth [%],1.745,1.153,0.983,0.852,0.990,1.264,1.434,1.484,1.505,1.604,1.704,1.829,1.856,1.813,1.792,1.797,1.817,1.834,,
OECD Env-Growth,SSP4,PYF,GDP|PPP,Annual Average Growth [%],1.691,1.175,1.335,1.670,1.997,2.153,2.153,2.034,1.881,1.803,1.687,1.606,1.456,1.298,1.175,1.096,1.041,0.974,,
